"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","beta_rad","sigma_n_pri","tau_pri"
"NGC",-19.9999999997313,75.512493139847,-19.9423162262404,2.34652798877161,88.5918040292074,87.1836080584148,1.5216410143876,-0.997115811312019,0.11732639943858
"NGC",-19.999999999716,75.5124931649974,-19.9415124450111,2.36281005899994,88.5820248905213,87.1640497810427,1.52129965805144,-0.997075622250555,0.118140502949997
"NGC",-19.9999999996999,75.5124931910307,-19.9407031058394,2.37909185393438,88.5722457518353,87.1444915036705,1.52095830171528,-0.997035155291971,0.118954592696719
"NGC",-19.999999999683,75.5124932179716,-19.9398882088196,2.39537337167879,88.5624666131492,87.1249332262984,1.52061694537911,-0.996994410440978,0.11976866858394
"NGC",-19.9999999996654,75.5124932458452,-19.9390677540464,2.41165461033706,88.5526874744632,87.1053749489263,1.52027558904295,-0.996953387702319,0.120582730516853
"NGC",-19.9999999996468,75.5124932746773,-19.9382417416154,2.42793556801318,88.5429083357771,87.0858166715542,1.51993423270679,-0.996912087080771,0.121396778400659
"NGC",-19.9999999996274,75.512493304494,-19.9374101716228,2.44421624281118,88.533129197091,87.0662583941821,1.51959287637063,-0.996870508581142,0.122210812140559
"NGC",-19.9999999996071,75.512493335322,-19.9365730441655,2.46049663283515,88.523350058405,87.0467001168099,1.51925152003447,-0.996828652208273,0.123024831641757
"NGC",-19.9999999995857,75.5124933671886,-19.9357303593407,2.47677673618925,88.5135709197189,87.0271418394378,1.5189101636983,-0.996786517967037,0.123838836809463
"NGC",-19.9999999995634,75.5124934001217,-19.9348821172468,2.49305655097772,88.5037917810328,87.0075835620657,1.51856880736214,-0.996744105862338,0.124652827548886
"NGC",-19.99999999954,75.5124934341496,-19.9340283179823,2.50933607530487,88.4940126423468,86.9880252846936,1.51822745102598,-0.996701415899115,0.125466803765243
"NGC",-19.9999999995156,75.5124934693013,-19.9331689616467,2.52561530727504,88.4842335036607,86.9684670073215,1.51788609468982,-0.996658448082336,0.126280765363752
"NGC",-19.99999999949,75.5124935056062,-19.9323040483401,2.54189424499269,88.4744543649747,86.9489087299494,1.51754473835366,-0.996615202417004,0.127094712249634
"NGC",-19.9999999994632,75.5124935430945,-19.931433578163,2.5581728865623,88.4646752262886,86.9293504525772,1.5172033820175,-0.996571678908152,0.127908644328115
"NGC",-19.9999999994353,75.5124935817969,-19.9305575512169,2.57445123008845,88.4548960876025,86.9097921752051,1.51686202568133,-0.996527877560846,0.128722561504423
"NGC",-19.999999999406,75.5124936217445,-19.9296759676037,2.59072927367581,88.4451169489165,86.890233897833,1.51652066934517,-0.996483798380186,0.12953646368379
"NGC",-19.9999999993754,75.5124936629694,-19.928788827426,2.60700701542907,88.4353378102304,86.8706756204609,1.51617931300901,-0.996439441371301,0.130350350771454
"NGC",-19.9999999993435,75.5124937055039,-19.9278961307871,2.62328445345304,88.4255586715444,86.8511173430887,1.51583795667285,-0.996394806539355,0.131164222672652
